日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20241129,2892,日本食品化工,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2894,石井食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2897,日清食品ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20241129,2901,ウェルディッシュ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2903,シノブフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2904,一正蒲鉾,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2907,あじかん,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2908,フジッコ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2910,ロック・フィールド,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241129,2911,旭松食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2914,日本たばこ産業,プライム（内国株式）,3050,食料品,1,食品,1,TOPIX Core30
20241129,2915,ケンコーマヨネーズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2916,仙波糖化工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2917,大森屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2918,わらべや日洋ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241129,2922,なとり,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2923,サトウ食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2924,イフジ産業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2926,篠崎屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2929,ファーマフーズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2930,北の達人コーポレーション,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20241129,2931,ユーグレナ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20241129,2932,ＳＴＩフードホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2933,紀文食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2934,ジェイフロンティア,グロース（内国株式）,3050,食料品,1,食品,-,-
20241129,2935,ピックルスホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20241129,2936,ベースフード,グロース（内国株式）,3050,食料品,1,食品,-,-
20241129,2937,サンクゼール,グロース（内国株式）,3050,食料品,1,食品,-,-
20241129,2938,オカムラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,2961,日本調理機,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241129,2962,テクニスコ,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20241129,2970,グッドライフカンパニー,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2971,エスコンジャパンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,2972,サンケイリアルエステート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,2975,スター・マイカ・ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,2977,Ｌｉｖｅｎｕｐ　Ｇｒｏｕｐ,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2978,ツクルバ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2979,ＳＯＳｉＬＡ物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,2980,ＳＲＥホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241129,2981,ランディックス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2982,ＡＤワークスグループ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,2983,アールプランナー,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2984,ヤマイチ・ユニハイムエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2985,ファーストステージ,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2986,ＬＡホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2989,東海道リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,2990,アイダ設計,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2991,ランドネット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2992,アーバンライク,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2993,長栄,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2994,アンサーホールディングス,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2995,ジェイレックス・コーポレーション,PRO Market,8050,不動産業,17,不動産,-,-
20241129,2997,ストレージ王,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2998,クリアル,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,2999,ホームポジション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3001,片倉工業,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3002,グンゼ,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20241129,3003,ヒューリック,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241129,3004,神栄,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3010,ポラリス・ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241129,3011,バナーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3020,アプライド,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3021,パシフィックネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241129,3023,ラサ商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3024,クリエイト,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3028,アルペン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3030,ハブ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3031,ラクーンホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20241129,3034,クオールホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3035,ケイティケイ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3036,アルコニックス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241129,3038,神戸物産,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241129,3039,碧,PRO Market,6100,小売業,14,小売,-,-
20241129,3040,ソリトンシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20241129,3041,ビューティカダンホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3042,セキュアヴェイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20241129,3045,カワサキ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3046,ジンズホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3048,ビックカメラ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3050,ＤＣＭホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3053,ペッパーフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3054,ハイパー,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3058,三洋堂ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3059,ヒラキ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3063,ジェイグループホールディングス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3065,ライフフーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3067,東京一番フーズ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3068,ＷＤＩ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3069,ＪＦＬＡホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20241129,3070,ジェリービーンズグループ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3071,ストリーム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3073,ＤＤグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3075,銚子丸,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3076,あい　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241129,3077,ホリイフードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3079,ディーブイエックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3080,ジェーソン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3082,きちりホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3083,スターシーズ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3086,Ｊ．フロント　リテイリング,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3087,ドトール・日レスホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3089,テクノアルファ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3091,ブロンコビリー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3092,ＺＯＺＯ,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3093,トレジャー・ファクトリー,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3094,スーパーバリュー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3096,オーシャンシステム,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3097,物語コーポレーション,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3099,三越伊勢丹ホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3101,東洋紡,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20241129,3103,ユニチカ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3104,富士紡ホールディングス,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3105,日清紡ホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20241129,3106,倉敷紡績,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3107,ダイワボウホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241129,3109,シキボウ,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3110,日東紡績,プライム（内国株式）,3400,ガラス・土石製品,3,建設・資材,6,TOPIX Small 1
20241129,3111,オーミケンシ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20241129,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20241129,3116,トヨタ紡織,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,4,TOPIX Mid400
20241129,3121,マーチャント・バンカーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241129,3123,サイボー,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
20241129,3131,シンデン・ハイテックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3132,マクニカホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241129,3133,海帆,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3134,Ｈａｍｅｅ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3135,マーケットエンタープライズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3137,ファンデリー,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3138,富士山マガジンサービス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3139,ラクト・ジャパン,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3140,ＢＲＵＮＯ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3141,ウエルシアホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3143,オーウイル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3148,クリエイトＳＤホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3150,グリムス,プライム（内国株式）,4050,電気・ガス業,11,電力・ガス,7,TOPIX Small 2
20241129,3151,バイタルケーエスケー・ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3153,八洲電機,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3154,メディアスホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3156,レスター,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3157,ジオリーブグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3160,大光,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3161,アゼアス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3166,ＯＣＨＩホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3167,ＴＯＫＡＩホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20241129,3168,黒谷,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3169,ミサワ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3172,ティーライフ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3173,Ｃｏｍｉｎｉｘ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3174,ハピネス・アンド・ディ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3175,エー・ピーホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3176,三洋貿易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3177,ありがとうサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3178,チムニー,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3179,シュッピン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3180,ビューティガレージ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3181,買取王国,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3182,オイシックス・ラ・大地,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3183,ウイン・パートナーズ,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3184,ＩＣＤＡホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3185,夢展望,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3186,ネクステージ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3187,ミラタップ,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3189,ＡＮＡＰ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3190,ホットマン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3191,ジョイフル本田,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3192,白鳩,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3193,エターナルホスピタリティグループ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3195,ジェネレーションパス,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3196,ホットランド,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3197,すかいらーくホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3198,ＳＦＰホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3199,綿半ホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3201,日本毛織,プライム（内国株式）,3100,繊維製品,4,素材・化学,6,TOPIX Small 1
20241129,3202,ダイトウボウ,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3204,トーア紡コーポレーション,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3205,ダイドーリミテッド,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3221,ヨシックスホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3223,エスエルディー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3224,ゼネラル・オイスター,グロース（内国株式）,6100,小売業,14,小売,-,-
20241129,3226,日本アコモデーションファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3231,野村不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241129,3232,三重交通グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3234,森ヒルズリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3236,プロパスト,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3237,イントランス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3238,セントラル総合開発,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3241,ウィル,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3242,アーバネットコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3245,ディア・ライフ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3246,コーセーアールイー,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3248,アールエイジ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3249,産業ファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3252,地主,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3254,プレサンスコーポレーション,スタンダード（内国株式）,8050,不動産業,17,不動産,6,TOPIX Small 1
20241129,3261,グランディーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3264,アスコット,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3266,ファンドクリエーショングループ,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3267,フィル・カンパニー,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20241129,3269,アドバンス・レジデンス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3271,ＴＨＥグローバル社,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3275,ハウスコム,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3276,ＪＰＭＣ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3277,サンセイランディック,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3279,アクティビア・プロパティーズ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3280,エストラスト,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3281,ＧＬＰ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3282,コンフォリア・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3283,日本プロロジスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3284,フージャースホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3286,トラストホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3287,星野リゾート・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3288,オープンハウスグループ,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241129,3289,東急不動産ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241129,3290,Ｏｎｅリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3291,飯田グループホールディングス,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20241129,3292,イオンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3293,アズマハウス,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3294,イーグランド,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3295,ヒューリックリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3296,日本リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3297,東武住販,スタンダード（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3299,ムゲンエステート,スタンダード（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20241129,3300,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20241129,3302,帝国繊維,プライム（内国株式）,3100,繊維製品,4,素材・化学,7,TOPIX Small 2
20241129,3306,日本製麻,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3309,積水ハウス・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,-,-,-,-,-,-
20241129,3315,日本コークス工業,プライム（内国株式）,3300,石油・石炭製品,2,エネルギー資源,7,TOPIX Small 2
20241129,3317,フライングガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3319,ゴルフダイジェスト・オンライン,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3320,クロスプラス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3321,ミタチ産業,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3322,アルファグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3323,レカム,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3326,ランシステム,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20241129,3328,ＢＥＥＮＯＳ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3329,東和フードサービス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3333,あさひ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3341,日本調剤,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3347,トラスト,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3349,コスモス薬品,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3350,メタプラネット,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3352,バッファロー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3353,メディカル一光グループ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3355,クリヤマホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3358,ワイエスフード,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3359,ｃｏｔｔａ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3360,シップヘルスケアホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20241129,3361,トーエル,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3370,フジタコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3371,ソフトクリエイトホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20241129,3372,関門海,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3374,内外テック,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3375,ＺＯＡ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3377,バイク王＆カンパニー,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3382,セブン＆アイ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売,1,TOPIX Core30
20241129,3386,コスモ・バイオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20241129,3387,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20241129,3388,明治電機工業,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3391,ツルハホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3392,デリカフーズホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3393,スターティアホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20241129,3395,サンマルクホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3396,フェリシモ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20241129,3397,トリドールホールディングス,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20241129,3399,丸千代山岡家,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20241129,3401,帝人,プライム（内国株式）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20241129,3402,東レ,プライム（内国株式）,3100,繊維製品,4,素材・化学,4,TOPIX Mid400
20241129,3405,クラレ,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20241129,3407,旭化成,プライム（内国株式）,3200,化学,4,素材・化学,2,TOPIX Large70
20241129,3409,北日本紡績,スタンダード（内国株式）,3100,繊維製品,4,素材・化学,-,-
